"Manifest ID","Proposed ID (not reserved)","Week","Week start","Week end","Category","Name","Domain","Equipment","Dose draft","Rest draft","Patterns","Test relationship","Objectives","Source IDs","Evidence limitation","Distinctness","Primary demo brief","Teaching detail brief","Error correction brief","Review status","Publication hold"
"wb-001","STR-503","1","2026-09-21","2026-09-27","strength","Goblet squat","strength","kettlebell","1-2 sets x 6-8 reps","60-90 seconds between sets","squat/lunge and knee extension; hip force and control; trunk control","support","vertical_jump","NSCA2009; AAP2020; NEGRA2016","The named exercise, variation and dose were not isolated in the cited trials. Linking a domain is a coaching inference, not diagnosis of a weakness or a guaranteed test improvement.","Adds external anterior loading and an unsupported squat after the existing box competency drill; not another box-height variant.","Show goblet squat from setup to finish at normal speed. Keep the whole body and equipment visible. Set feet in a comfortable stance and brace gently. Sit between the hips while keeping the whole foot grounded. Stand smoothly and finish tall without leaning back. Film both sides where relevant; show a reset rather than a fatigue set.","Show the setup close enough to reproduce it: Stand on a clear level floor holding the coach-selected kettlebell at the chest. Practise the unloaded pattern first. Explain: Keep the bell close and knees following the toes. Demonstrate the easier option: Unloaded squat to a comfortable depth. Explain that the coach chooses progression and any external load.","Explain the error without deliberately loading an unsafe position: Heels lifting: reduce depth and practise without the bell. Contrast a safe low-effort example with the correct version. Refilm normal correct repetitions. Do not demonstrate pain, maximal strain, risky falls or unsafe equipment use.","pending","Awaiting content review and three approved videos."
"wb-002","STR-504","1","2026-09-21","2026-09-27","strength","Elevated kettlebell deadlift","strength","kettlebell; box","1-2 sets x 6-8 reps","60-90 seconds between sets","hip force and control; posterior-chain and knee-flexion capacity; trunk control","support","horizontal_jump","NSCA2009; AAP2020; NEGRA2016","The named exercise, variation and dose were not isolated in the cited trials. Linking a domain is a coaching inference, not diagnosis of a weakness or a guaranteed test improvement.","Bilateral externally loaded floor-pull preparation differs from the existing single-leg balance reach.","Show elevated kettlebell deadlift from setup to finish at normal speed. Keep the whole body and equipment visible. Push the hips back and grip the handle. Stand by driving the feet into the floor with arms long. Return the bell to the block under control and reset. Film both sides where relevant; show a reset rather than a fatigue set.","Show the setup close enough to reproduce it: Place a coach-selected kettlebell on a stable low block between the feet. Set a height that permits a comfortable hinge. Explain: Move the hips back before the knees bend deeply. Demonstrate the easier option: Unloaded hip hinge with hands on the hips. Explain that the coach chooses progression and any external load.","Explain the error without deliberately loading an unsafe position: Rounding to reach: raise the start height or reduce load. Contrast a safe low-effort example with the correct version. Refilm normal correct repetitions. Do not demonstrate pain, maximal strain, risky falls or unsafe equipment use.","pending","Awaiting content review and three approved videos."
"wb-003","STR-505","1","2026-09-21","2026-09-27","strength","Dumbbell floor press","strength","dumbbells; mat","1-2 sets x 6-8 reps","60-90 seconds between sets","upper-body push/support; trunk control","general","","NSCA2009; AAP2020","The named exercise, variation and dose were not isolated in the cited trials. Linking a domain is a coaching inference, not diagnosis of a weakness or a guaranteed test improvement.","Introduces horizontal upper-body pressing absent from the existing strength roster.","Show dumbbell floor press from setup to finish at normal speed. Keep the whole body and equipment visible. Set shoulders comfortably and hold wrists over elbows. Lower until the upper arms gently meet the floor. Press upward without banging the weights together. Film both sides where relevant; show a reset rather than a fatigue set.","Show the setup close enough to reproduce it: Lie on a mat with knees bent and the coach-selected dumbbells held above the chest. Coach helps position weights if needed. Explain: Keep wrists stacked and breathe through the press. Demonstrate the easier option: Practise the press pattern with very light dumbbells. Explain that the coach chooses progression and any external load.","Explain the error without deliberately loading an unsafe position: Flaring elbows: bring them to a comfortable diagonal and reduce load. Contrast a safe low-effort example with the correct version. Refilm normal correct repetitions. Do not demonstrate pain, maximal strain, risky falls or unsafe equipment use.","pending","Awaiting content review and three approved videos."
"wb-004","STR-506","1","2026-09-21","2026-09-27","strength","Chest-supported dumbbell row","strength","dumbbells; bench","1-2 sets x 6-8 reps","60-90 seconds between sets","upper-body pull/scapular control","general","","NSCA2009; AAP2020","The named exercise, variation and dose were not isolated in the cited trials. Linking a domain is a coaching inference, not diagnosis of a weakness or a guaranteed test improvement.","Adds supported horizontal pulling without requiring the unsupported hinge balance of a bent-over row.","Show chest-supported dumbbell row from setup to finish at normal speed. Keep the whole body and equipment visible. Let the arms hang while keeping the neck comfortable. Row elbows toward the hips without lifting the chest. Lower slowly until the arms lengthen. Film both sides where relevant; show a reset rather than a fatigue set.","Show the setup close enough to reproduce it: Set a stable incline bench so the chest is supported and feet reach the floor. Use coach-selected dumbbells. Explain: Keep chest contact with the pad. Demonstrate the easier option: Use a lighter load with the same chest support. Explain that the coach chooses progression and any external load.","Explain the error without deliberately loading an unsafe position: Shrugging and arching: lighten the weights and shorten the pull. Contrast a safe low-effort example with the correct version. Refilm normal correct repetitions. Do not demonstrate pain, maximal strain, risky falls or unsafe equipment use.","pending","Awaiting content review and three approved videos."
"wb-005","STR-507","1","2026-09-21","2026-09-27","strength","Dumbbell reverse lunge","strength","dumbbells","1-2 sets x 6-8 reps each side","60-90 seconds between sets","squat/lunge and knee extension; hip force and control; trunk control","support","planned_change_direction","NSCA2009; AAP2020; NEGRA2016","The named exercise, variation and dose were not isolated in the cited trials. Linking a domain is a coaching inference, not diagnosis of a weakness or a guaranteed test improvement.","Dynamic backward stepping under load adds an eccentric/concentric demand beyond the existing static split squat.","Show dumbbell reverse lunge from setup to finish at normal speed. Keep the whole body and equipment visible. Step one foot back and lower in control. Keep the front foot planted while the back knee approaches the floor. Push through the front foot to return and reset before repeating. Film both sides where relevant; show a reset rather than a fatigue set.","Show the setup close enough to reproduce it: Stand in a clear lane holding coach-selected dumbbells at the sides. Mark a comfortable backward step. Explain: Land the back foot quietly and keep the pelvis level. Demonstrate the easier option: Unloaded reverse lunge with a nearby support. Explain that the coach chooses progression and any external load.","Explain the error without deliberately loading an unsafe position: Stepping on a tightrope: widen the stance slightly. Contrast a safe low-effort example with the correct version. Refilm normal correct repetitions. Do not demonstrate pain, maximal strain, risky falls or unsafe equipment use.","pending","Awaiting content review and three approved videos."
"wb-006","STR-508","1","2026-09-21","2026-09-27","strength","Seated dumbbell calf raise","strength","dumbbells; bench","1-2 sets x 6-8 reps","60-90 seconds between sets","ankle and calf capacity","general","","NSCA2009; AAP2020","The named exercise, variation and dose were not isolated in the cited trials. Linking a domain is a coaching inference, not diagnosis of a weakness or a guaranteed test improvement.","Bent-knee seated loading is a distinct calf-strength emphasis from the standing calf progression; source-specific transfer is unproven.","Show seated dumbbell calf raise from setup to finish at normal speed. Keep the whole body and equipment visible. Press through the forefeet to lift the heels. Pause briefly without rolling the ankles outward. Lower the heels slowly to the floor. Film both sides where relevant; show a reset rather than a fatigue set.","Show the setup close enough to reproduce it: Sit on a stable bench with knees bent and feet flat. Rest coach-selected dumbbells on padded thighs and hold them securely. Explain: Keep the knees still while the ankles move. Demonstrate the easier option: Seated heel raises without external load. Explain that the coach chooses progression and any external load.","Explain the error without deliberately loading an unsafe position: Bouncing the weight: pause at each end and lighten it. Contrast a safe low-effort example with the correct version. Refilm normal correct repetitions. Do not demonstrate pain, maximal strain, risky falls or unsafe equipment use.","pending","Awaiting content review and three approved videos."
"wb-007","STR-509","1","2026-09-21","2026-09-27","strength","Standing cable anti-rotation press","strength","cableMachine","1-2 sets x 6-8 reps each side","60-90 seconds between sets","trunk control","general","","NSCA2009; AAP2020","The named exercise, variation and dose were not isolated in the cited trials. Linking a domain is a coaching inference, not diagnosis of a weakness or a guaranteed test improvement.","Dynamic anti-rotation pressing expands trunk coverage beyond lateral support holds.","Show standing cable anti-rotation press from setup to finish at normal speed. Keep the whole body and equipment visible. Hold the handle close to the chest and brace. Press straight forward while keeping shoulders and hips facing ahead. Return slowly without turning toward the cable. Film both sides where relevant; show a reset rather than a fatigue set.","Show the setup close enough to reproduce it: Set the cable at chest height. Stand side-on with a coach-selected light load and enough room to extend the hands. Explain: Let the arms move while the trunk stays quiet. Demonstrate the easier option: Stand closer to the cable with a lighter load. Explain that the coach chooses progression and any external load.","Explain the error without deliberately loading an unsafe position: Rotating with the handle: reduce load and widen the stance. Contrast a safe low-effort example with the correct version. Refilm normal correct repetitions. Do not demonstrate pain, maximal strain, risky falls or unsafe equipment use.","pending","Awaiting content review and three approved videos."
"wb-008","STR-510","1","2026-09-21","2026-09-27","isometric","Wall-supported squat hold","strength","wall","1-2 sets x 10-20 seconds","45-60 seconds between sets","squat/lunge and knee extension; hip force and control","general","","NSCA2009; AAP2020; ISO2026","The youth trial combined isometric and ballistic work in older males. It cannot prove this particular hold improves a six-test result; no tendon or pain treatment claim.","Bilateral supported knee/hip hold differs from the existing unilateral split-squat hold.","Show wall-supported squat hold from setup to finish at normal speed. Keep the whole body and equipment visible. Set the back against the wall and feet flat. Hold the position while breathing normally. Slide upward to stand before form changes. Film both sides where relevant; show a reset rather than a fatigue set.","Show the setup close enough to reproduce it: Use a clear solid wall and non-slip floor. Slide to a shallow coach-approved squat depth with feet far enough forward for balance. Explain: Choose a hold depth you can maintain without strain. Demonstrate the easier option: Higher wall-supported position for a shorter hold. Explain that the coach chooses progression and any external load.","Explain the error without deliberately loading an unsafe position: Sliding lower to chase fatigue: return to the approved shallow depth. Contrast a safe low-effort example with the correct version. Refilm normal correct repetitions. Do not demonstrate pain, maximal strain, risky falls or unsafe equipment use.","pending","Awaiting content review and three approved videos."
"wb-009","STR-511","1","2026-09-21","2026-09-27","isometric","Supported calf-raise hold","strength","wall","1-2 sets x 10-20 seconds","45-60 seconds between sets","ankle and calf capacity","general","","NSCA2009; AAP2020; ISO2026","The youth trial combined isometric and ballistic work in older males. It cannot prove this particular hold improves a six-test result; no tendon or pain treatment claim.","Sustained ankle force at a fixed position differs from dynamic calf-raise repetitions; no tendon-treatment claim.","Show supported calf-raise hold from setup to finish at normal speed. Keep the whole body and equipment visible. Lift both heels smoothly. Keep equal pressure through both forefeet while holding. Lower with control before the ankles wobble. Film both sides where relevant; show a reset rather than a fatigue set.","Show the setup close enough to reproduce it: Stand near a wall for light balance support. Rise only to a height the coach has taught and approved. Explain: Hold height rather than bouncing. Demonstrate the easier option: Lower heel-rise height with the same wall support. Explain that the coach chooses progression and any external load.","Explain the error without deliberately loading an unsafe position: Rolling outward onto the small toes: lower slightly and rebalance. Contrast a safe low-effort example with the correct version. Refilm normal correct repetitions. Do not demonstrate pain, maximal strain, risky falls or unsafe equipment use.","pending","Awaiting content review and three approved videos."
"wb-010","STR-512","1","2026-09-21","2026-09-27","isometric","Quadruped bear-hover hold","strength","mat","1-2 sets x 10-20 seconds","45-60 seconds between sets","trunk control; upper-body push/support","general","","NSCA2009; AAP2020; ISO2026","The youth trial combined isometric and ballistic work in older males. It cannot prove this particular hold improves a six-test result; no tendon or pain treatment claim.","Stationary four-point hover is a prerequisite for the live travelling bear crawl and alternating shoulder taps; it keeps all supports fixed and prescribes hold seconds.","Show quadruped bear-hover hold from setup to finish at normal speed. Keep the whole body and equipment visible. Brace gently and lift the knees just clear of the mat. Keep the back level and breathe without shifting backward. Lower the knees softly before control fades. Film both sides where relevant; show a reset rather than a fatigue set.","Show the setup close enough to reproduce it: Start on hands and knees on a mat with hands under shoulders and knees under hips. Explain: Keep the hover low. Demonstrate the easier option: Keep both knees on the mat while practising the brace. Explain that the coach chooses progression and any external load.","Explain the error without deliberately loading an unsafe position: Hips rising high: lower the knees and reset. Contrast a safe low-effort example with the correct version. Refilm normal correct repetitions. Do not demonstrate pain, maximal strain, risky falls or unsafe equipment use.","pending","Awaiting content review and three approved videos."
